"Auteur";"Identifiant auteur";"Titre";"Directeur de these";"Directeur de these (nom prenom)";"Identifiant directeur";"Etablissement de soutenance";"Identifiant etablissement";"Discipline";"Statut";"Date de premiere inscription en doctorat";"Date de soutenance";"Langue de la these";"Identifiant de la these";"Accessible en ligne";"Publication dans theses.fr";"Mise a jour dans theses.fr";
Faten Yaqoobi (Bahadly);;Le retour du mythe sur la scene theatrale francaise du xxeme siecle.;Thanh-von Ton-that;Ton-that Thanh-von;;Pau;026403668;Litteratures francaise et francophone;enCours;16-02-2009;;;s23493;non;26-09-2011;22-01-2015;
Francois Balanche;;"Se liberer soi-meme", "ne soumettre personne". La question de la liberte dans l'oeuvre et les ecrits d'Andre Boucourechliev;Esteban Buch;Buch Esteban;03321056X;Paris, EHESS;026374889;Musique et musicologie;enCours;14-12-2008;;;s23498;non;26-09-2011;03-04-2016;
Arol enol Alphonse;;Les difficultes de mise en place d'un nouveau systeme policier dans la societe haitienne;Francois Dieu;Dieu Francois;;Toulouse 1;026404354;Science politique;enCours;10-09-2007;;;s18599;non;26-09-2011;22-01-2015;
Tuan Anh An Vo;190210486;Terminologie informatique : approche socioterminologique;Francois Gaudin;Gaudin Francois;026884127;Rouen;026403919;Sciences du langage;soutenue;;01-01-2015;fr;2015ROUEL010;non;26-09-2011;16-12-2015;
Nasredine Assoul;;La circulation monetaire a Madaure et ses environs pendant les periodes romaines.;Patrick Thollard;Thollard Patrick;029225515;Montpellier 3;026404702;Archeologie;enCours;19-11-2007;;;s18625;non;26-09-2011;19-03-2012;
Midokpe Perrot (Ahouandogbo);;Le renvoi en cassation;Francis Kernaleguen;Kernaleguen Francis;033499160;Rennes 1;02778715X;Droit prive;enCours;04-03-2008;;;s18647;non;26-09-2011;22-01-2015;
Stephanie Aubert;;Les cronice ab orgine mundi de gonzalo de hinojosa. une chronique universelle ecrite par un eveque castillan au debut du xiv siecle et traduite pour charles v. etude et edition critique partielle.;Denis Menjot;Menjot Denis;028617908;Lyon 2;02640334X;Histoire;enCours;08-04-2008;24-11-2012;;s18705;non;26-09-2011;30-03-2016;
Alba cristina Alfaro santana;;La promotion de symptomes sociaux;Pierre-gilles Gueguen;Gueguen Pierre-gilles;;Paris 8;026403552;Psychologie;enCours;01-10-2004;13-09-2011;;s17411;non;26-09-2011;02-04-2012;
Ekoue didier Akakovie;;Les activites economiques des collectivites religieuses. analyse juridique.;Isabelle Riassetto;Riassetto Isabelle;069304432;Strasbourg;131056549;Droit prive;enCours;01-11-2004;07-12-2009;;s17418;non;26-09-2011;10-10-2014;
Massama-esso Atani;;Transmission des droits et actions.;Claude Ophele;Ophele Claude;083624902;Poitiers;026403765;Droit prive;enCours;01-02-2005;13-07-2012;;s17420;non;26-09-2011;05-04-2016;
Helena Aizen;;Le mouvement des piqueteros. mouvements sociaux et construction communautaire en argentine.;Maurice Duval;Duval Maurice;;Montpellier 3;026404702;Ethnologie;enCours;01-11-2004;;;s17422;non;26-09-2011;21-01-2015;
Sami Amer;;Le francais, langue des affaires au liban. description et suggestions.;Chantal Charnet;Charnet Chantal;060597100;Montpellier 3;026404702;Sociologie;enCours;01-11-2004;;;s17435;non;26-09-2011;21-01-2015;
Tossou Atchrimi;;La lutte contre le sida au togo. le role de l'etat et de la societe civile. analyse des enjeux.;Gilles Ferreol;Ferreol Gilles;029816769;Poitiers;026403765;Sociologie;enCours;01-11-2004;;;s17436;non;26-09-2011;04-04-2016;
Ishdel Addyman;;L'exploration de l'espace imaginaire. les reactions a la nouvelle cosmologie dans les litteratures francaise et anglaise du dix-septieme siecle.;Charles Whitworth;Whitworth Charles;;Montpellier 3;026404702;Etudes anglophones;enCours;01-11-2004;;;s17467;non;26-09-2011;21-01-2015;
Fleur Albergel;;Imaginaire et innovation en milieu cooperatif viticole : facteurs de developpement durable.;Martine Xiberras;Xiberras Martine;029730708;Montpellier 3;026404702;Sociologie;enCours;01-11-2005;;;s17827;non;26-09-2011;22-01-2015;
Florence Armouet;;Le parc national des hauts defis et perspectives en matiere de developpement touristique et ecotouristique durable.;Guy Fontaine;Fontaine Guy;;La Reunion;026404451;Geographie;enCours;01-10-2005;13-07-2012;;s17830;non;26-09-2011;04-04-2016;
Ali Amajoud;;Salins et salines du maroc.;Andre Humbert;Humbert Andre;;Universite de Lorraine;157040569;Geographie;enCours;01-12-2005;;;s17837;non;26-09-2011;28-06-2013;
Waguena Bitassa;;La problematique du vih/sida au togo. reflexion et enjeux ethico-theologiques pour l'homme sauve;Marie-Anne Vannier;Vannier Marie-Anne;050138707;Universite de Lorraine;157040569;Theologie catholique;enCours;11-01-2011;;;s25229;non;26-09-2011;04-04-2016;
Azzedine Badis;;''conseils communau'' contre ''democratie locale'', convergences pratiques et discours ideologiques a la ''gauche de la gauche''. approche comparee france/venezuela;Jean-Michel Eymeri-Douzans;Eymeri-Douzans Jean-Michel;126301344;Toulouse 1;026404354;Science politique;enCours;26-01-2011;;;s25232;non;26-09-2011;05-04-2016;
Stephane Billard;;Cognition incarnee et anorexie mentale : etude des processus automatiques et controles;Francois Lang,Denis Brouillet;Lang Francois,Brouillet Denis;,03546416X;Montpellier 3;026404702;Psychologie;enCours;28-09-2010;;;s25281;non;26-09-2011;21-02-2012;
Rene-pierre Bouigues;;Ame, vertu et henologie;Bernard Mabille;Mabille Bernard;;Poitiers;026403765;Philosophie politique et juridique;enCours;22-11-2010;;;s25309;non;26-09-2011;19-01-2012;
Raphaele jeanne Aubin (Broute);;Le contrat en agriculture.;Denis Rochard;Rochard Denis;069255903;Poitiers;026403765;Droit prive;enCours;01-02-2005;20-09-2013;;s20296;non;26-09-2011;27-01-2014;
Paul henri Bimboudza;;Le trafic des enfants beninois et togolais vers le gabon : entre travail domestique et strategies de survie.;Veronique Lassailly-Jacob;Lassailly-Jacob Veronique;050121111;Poitiers;026403765;Geographie;enCours;01-01-2005;;;s20306;non;26-09-2011;05-04-2016;
Rahima Berdi;;Zones humides et developpement durable. la geston de la biodiversite des zones humides cotieres algeriennes.;Georges Hugot;Hugot Georges;029121760;Montpellier 3;026404702;Geographie;enCours;01-11-2004;;;s20311;non;26-09-2011;22-01-2015;
Jeremie Bellanger;;Etude contrastive de la particule gotique ga et de la particule japonaise ga : essai d'un rapprochement dans une perspective eurasiatique.;Francoise Daviet;Daviet Francoise;029397782;Angers;026402920;Sciences du langage;enCours;01-02-2005;;;s20352;non;26-09-2011;06-04-2016;
Baptiste Barbot;;Creativite et formation de l'identite a l'adolescence: perspective differentielle du developpement du Soi;Todd Lubart;Lubart Todd;;Paris 5;026404788;Psychologie;enCours;01-09-2005;08-12-2008;;s20354;non;26-09-2011;02-07-2012;
Gerome Booda;;Esthetique et discours politique dans la seconde moitie du xxe siecle : l'exemple de deux revues radicales, nouvelle ecole et l'internationale situationniste.;Dominique Salini;Salini Dominique;;Corte;029473284;Philosophie (metaphysique, epistemologie, esthetique);enCours;01-11-2004;;;s20372;non;26-09-2011;22-01-2015;
Adila Ameur;;Lalignement des discours linguistiques FR/AR : analyse predicative.;Salah Mejri;Mejri Salah;067149510;Paris 13;02640463X;Sciences du langage;enCours;25-01-2008;28-11-2013;;s19058;non;26-09-2011;04-02-2014;
Dana Awad;;La ponctuation en arabe : histoire et regles. Etude constrative avec le francais et l'anglais.;Joseph Dichy;Dichy Joseph;057742782;Lyon 2;02640334X;Sciences du langage;enCours;08-10-2008;04-10-2013;;s19148;non;26-09-2011;07-10-2013;
Marianne Bordreau;;Le role du critique d'art, prix et manifestations internationales : l'exemple de pierre restany.;Jean-marc Poinsot;Poinsot Jean-marc;;Rennes 2;054447658;Histoire de l'art;enCours;10-11-2006;;;s21763;non;26-09-2011;22-01-2015;
Denis Bruneliere;;Le rire : psychopathologie, implications cliniques et theoriques.;Laurent Ottavi;Ottavi Laurent;034644598;Rennes 2;054447658;Psychologie;enCours;10-11-2006;;;s21766;non;26-09-2011;22-01-2015;
Aurelia Stellio (Barraux);;Savoir-faire et territoires, une application dans la filiere etic.;Jocelyne Barreau;Barreau Jocelyne;;Rennes 2;054447658;Sciences economiques;enCours;10-11-2006;;;s21767;non;26-09-2011;22-01-2015;
Chantal Toufanian (Batwagan);;Une constitution republicaine en orient au xviiie siecle : le piege de l'orgueil, h. chahamirian.;Claire Mouradian;Mouradian Claire;;Paris, EHESS;026374889;Histoire;enCours;10-12-2006;;;s21821;non;26-09-2011;15-09-2011;
El messaoud Berkane;;L'urbanisation saharienne : typologie des formes de croissance urbaine de trois villes moyennes, cas des oasis du sud-est de l'algerie;Jean Soumagne;Soumagne Jean;028316460;Angers;026402920;Geographie;enCours;01-12-2006;;;s21825;non;26-09-2011;22-01-2015;
Anne-lise Ronsse-Renard (Renard);;Origines du changement de notation : le cas de l'OP AIE sur les societes francaises de 1997 a 2005;Marie-Pierre Mairesse;Mairesse Marie-Pierre;052299929;Valenciennes;026404079;Sciences de gestion;enCours;01-10-2004;14-10-2009;;s15285;non;26-09-2011;05-04-2016;
Anne Maugier-sinha (Maugier);;Epopee latine et mythologie grecque : les argonautiques de valerius flaccus et la thebaide de stace.;Alain Deremetz;Deremetz Alain;034499369;Lille 3;026404524;Etudes latines et neo-latines;enCours;01-10-2003;08-12-2008;;s15293;non;26-09-2011;03-04-2016;
Chiara Leveghi;;Etude du livre iv des odes d'horace.;Alain Deremetz,Gabriella Moretti;Deremetz Alain,Moretti Gabriella;034499369,;Lille 3;026404524;Etudes latines et neo-latines;enCours;01-12-2003;07-08-2008;;s15294;non;26-09-2011;03-04-2016;
Yves Perez;;Jalons pour une theorie gestionnaire de l'intervention dans les organisations : un point de vue constructiviste;Frederic Wacheux;Wacheux Frederic;034479694;Paris 9;027787109;Sciences de gestion;enCours;01-10-2003;13-02-2008;;s14389;non;26-09-2011;04-04-2016;
Huizhong Xiao;;La securite alimentaire en Chine. Une comparaison avec l'Union Europeenne et la Russie;Alessandro Stanziani;Stanziani Alessandro;057573298;Cachan, Ecole normale superieure;028237080;Sciences economiques;enCours;01-09-2004;10-06-2008;;s16590;non;26-09-2011;09-03-2012;
Mimasonirina Andrianaivo razafimanjato;;Banques, Marches financiers et croissance economique dans les pays en voie de developpement.;Jean-Christophe Poutineau;Poutineau Jean-Christophe;080208681;Rennes 1;02778715X;Sciences economiques;enCours;01-12-2004;03-09-2009;;s16606;non;26-09-2011;05-04-2016;
Momba alanda Wonga;;Usages et representations d'internet chez les migrants togolais.;Annie Guedez;Guedez Annie;030292549;Poitiers;026403765;Sociologie;enCours;01-12-2004;;;s17030;non;26-09-2011;05-04-2016;
Larisa Lelong (Gorelova);;La transmission des idees dans la societe en periode de crise politique : cas de l'union sovietique en 1991.;Francoise Reumaux;Reumaux Francoise;027096009;Poitiers;026403765;Sociologie;enCours;01-11-2004;;;s17061;non;26-09-2011;06-04-2016;
Mathieur Sicot;;Quelle representation pour les cooperatives agricoles ?;Bernard Geay;Geay Bernard;;Poitiers;026403765;Sociologie;enCours;01-11-2004;;;s17068;non;26-09-2011;21-01-2015;
Jean remy Stefanaggi;;Les produits corses : alimentation et identite.;Philippe Pesteil;Pesteil Philippe;085600768;Corte;029473284;Ethnologie;enCours;01-11-2004;;;s17079;non;26-09-2011;21-01-2015;
Huguette Parrouffe-pascaud;;L'ordre feminin de l'annonciade. approches historiques et anthropologiques.;Jean-pierre Albert;Albert Jean-pierre;;Paris, EHESS;026374889;Ethnologie;enCours;01-12-2004;12-10-2012;;s17108;non;26-09-2011;03-04-2016;
Jean-marc Giangualano;;La valorisation des potentiels a l'hopital public : la qualite par le management, la formation comme outil.;Jean-Marie Peretti;Peretti Jean-Marie;027064867;Corte;029473284;Sciences de gestion;enCours;01-11-2004;;;s17120;non;26-09-2011;04-04-2016;
Raja Ben abdallah;;Contribution a l'etude du comportement managerial des femmes entrepreneurs.;Jean-Marie Peretti;Peretti Jean-Marie;027064867;Corte;029473284;Sciences de gestion;enCours;01-11-2004;;;s17121;non;26-09-2011;04-04-2016;
Sandrine Fournier (Delpech);;La demission du personnel dans les petites et moyennes entreprises. cas de l'hotellerie-restauration.;Jean-Marie Peretti;Peretti Jean-Marie;027064867;Corte;029473284;Sciences de gestion;enCours;01-11-2004;;;s17123;non;26-09-2011;04-04-2016;
Norbet Maionchi-pino;;Le traitement syllabique chez l'enfant normo-lecteur et dyslexique : role des caracteristiques linguistiques du francais;Annie Magnan;Magnan Annie;031324010;Lyon 2;02640334X;Psychologie;enCours;01-12-2004;28-05-2008;;s15708;non;26-09-2011;30-03-2016;
Sophie Gauthier;;La transgression photographique, l'exposition comme medium de la polemique.;Jean Davallon;Davallon Jean;;Avignon;026369044;Sciences de l'information et de la communication;enCours;01-12-2004;;;s15752;non;26-09-2011;17-03-2016;
Sylvie Franchini;;L'identite professionnelle du conseiller principal d'education.;Jean-Marie Comiti;Comiti Jean-Marie;052196852;Corte;029473284;Sciences de l'education;enCours;01-11-2004;;;s15761;non;26-09-2011;05-04-2016;
Audrey Alves;;La fabrique du temoignage : la trilogie rwandaise du journaliste-ecrivain Jean Hatzfeld;Jacques Walter;Walter Jacques;028618637;Universite de Lorraine;157040569;Sciences de l'information et de la communication;enCours;01-10-2003;30-11-2012;;s15764;non;26-09-2011;04-04-2016;
Caroline Jacquier;;Etudes des indices acoustiques dans le traitement cognitif de la parole.;Lionel Collet;Collet Lionel;028984471;Lyon 2;02640334X;Sciences cognitives;enCours;01-01-2005;09-10-2008;;s15769;non;26-09-2011;30-03-2016;
Patricia francoise Ferrandini-ceccaldi (Vezzaro-ferrandini);;Outil didactique pour l'enseignement de la langue corse en classe bilingue des cycles ii et iii.;Dumenica Verdoni;Verdoni Dumenica;075937093;Corte;029473284;Sciences de l'education;enCours;01-11-2004;;;s15770;non;26-09-2011;05-04-2016;
Rachid Sbia;;Essai sur l identification du contrat de travail en droit marocain.;Francois-Paul Blanc;Blanc Francois-Paul;026730774;Perpignan;026403692;Droit prive;enCours;01-09-2004;26-09-2011;;s16209;non;26-09-2011;04-04-2016;
Bella Aoun;;L'enfant arriere et sa famille;Christian Hoffmann;Hoffmann Christian;;Poitiers;026403765;Psychologie;enCours;10-10-2004;22-05-2007;;s18302;non;26-09-2011;07-12-2015;
Tara Archer;;Comparaison sur les arts de la table dans les cours au xveme siecle.;Patrick Corbet;Corbet Patrick;028740831;Universite de Lorraine;157040569;Histoire;enCours;13-10-2006;;;s18345;non;26-09-2011;28-06-2013;
Alaa Abd-rabo;;L'euthanasie en debat et en pratique : l'evolution du droit francais et europeen.;Stamatios Tzitzis;Tzitzis Stamatios;033499136;Paris 2;026403145;Droit prive;enCours;12-02-2007;20-11-2012;;s18366;non;26-09-2011;13-12-2012;
Ayedadjou Adelou;;Impact economique des universites francaises sur leur territoire.;Francis Bismans;Bismans Francis;034334882;Universite de Lorraine;157040569;Sciences economiques;enCours;20-12-2007;;;s18773;non;26-09-2011;28-06-2013;
Mohamd Ahbiel;;Le phenomene de la violence scolaire en libye.;Gilles Ferreol;Ferreol Gilles;029816769;Poitiers;026403765;Sociologie;enCours;01-01-2005;;;s17526;non;26-09-2011;04-04-2016;
Dehbia Abdelli;;Les mutations socio-culturelles et spatiales d'un espace oasien, cas de l'oasis de taghit du centre ouest d'algerie.;Jean-Paul Bord;Bord Jean-Paul;028291425;Montpellier 3;026404702;Geographie;enCours;13-09-2006;;;s17965;non;26-09-2011;05-04-2016;
Noemie Allali;;Masquage social et representations du dopage chez les professionnels du sport.;Patrick Rateau;Rateau Patrick;035805862;Montpellier 3;026404702;Psychologie;enCours;17-11-2006;;;s18003;non;26-09-2011;22-01-2015;
Maxime Alby;;L'art et son public. dialectique de l'identite quebecoise au canada;Gerard Siary,Monique Carcaud macaire;Siary Gerard,Carcaud macaire Monique;,;Montpellier 3;026404702;Etudes nord-americaines;enCours;04-12-2006;;;s18007;non;26-09-2011;22-01-2015;
Romain Aveilla;;Conception, experimentation et evaluation d'un systeme dynamique 'enseignant-apprentissage';Adalgisa Battistelli,Gerard Pithon;Battistelli Adalgisa,Pithon Gerard;,;Montpellier 3;026404702;Psychologie;enCours;05-12-2010;;;s20064;non;26-09-2011;22-01-2015;
Blanca Daguet (Angeles lopez);;La mort et le purgatoire dans la litterature anglaise de predication et devotion de la fin du Moyen-Age;Stephen Morisson;Morisson Stephen;;Poitiers;026403765;Litterature medievale;enCours;08-10-2010;09-12-2015;;s20116;non;26-09-2011;27-01-2016;
Mariam Alyetman;;L'impact des normes prudentielles et comptables sur la decision d'octroi de credit aux entreprises au sein des banques - Une etude comparative France-Egypte.;Yannick Lemarchand,Nicolas Antheaume;Lemarchand Yannick,Antheaume Nicolas;033499209,;Nantes;026403447;Sciences de gestion;enCours;01-04-2011;15-10-2015;;s20146;non;26-09-2011;19-11-2015;
Carlos Arida;;La reforme des lois fiscales au liban.;Serge Delignieres;Delignieres Serge;;Amiens;026403714;Droit public;enCours;16-03-2009;;;s19165;non;26-09-2011;22-01-2015;
Abderrahman Aissa;;Tolerance sociale et cohabitation confessionnelle, a la base de l'age d'or d'al-andalus (xeme siecle);Stephane Boisselier;Boisselier Stephane;;Poitiers;026403765;Histoire medievale;enCours;31-03-2009;;;s19207;non;26-09-2011;22-01-2015;
Munier Alahmad;;La politique linguistique francaise en Syrie sous mandat francais de 1920 a 1946.;Jerome Grevy;Grevy Jerome;035611766;Poitiers;026403765;Histoire moderne et contemporaine;enCours;06-01-2009;12-06-2013;;s19217;non;26-09-2011;05-04-2016;
Come Damien Georges Awoumou;;Le Cameroun . Etat membre de l'OHADA. La souverainete de l'Etat a l'epreuve de l'entreprise de construction communautaire;Alain Ondoua;Ondoua Alain;059199504;Poitiers;026403765;Droit public;enCours;16-11-2009;;;s19683;non;26-09-2011;03-05-2012;
Pierre-Paul Alipoe;;La distribution des produits bancaires par les assureurs.;Hugues Kenfack;Kenfack Hugues;068707673;Poitiers;026403765;Droit prive;enCours;01-05-2004;02-12-2011;;s14873;non;26-09-2011;28-03-2012;
Stephanie Bikene Aboghe;;La mort dans la poesie de Luis CERNUDA et de Jose BERGAMIN : vie et destin face a la mort;Narciso Alba;Alba Narciso;032793766;Perpignan;026403692;Etudes iberiques et latino americaines;enCours;01-12-2002;20-12-2011;;s14965;non;26-09-2011;12-04-2016;
Giovanna Trento;;Pasolini et l'Afrique - L'Afrique de Pasolini. Panmeridionalisme et representations de l'Afrique postcoloniale;Jean-Loup Amselle,Alessandro Triulzi;Amselle Jean-Loup,Triulzi Alessandro;026685175,028420683;Paris, EHESS;026374889;Etudes africaines;enCours;01-12-2003;07-07-2008;;s15386;non;26-09-2011;04-04-2016;
Sylvain Dagneaux;;Le sommeil et les performances intellectuelles.;Francois Testu;Testu Francois;;Tours;026404478;Psychologie;enCours;01-12-2004;20-12-2006;;s15400;non;26-09-2011;14-04-2015;
Catherine Jeannello;;Approche clinique et psychopathologiques des adolescentes guadeloupeennes en situation d'IVG.;Michel Wawrzyniak;Wawrzyniak Michel;12229517X;Amiens;026403714;Psychologie;enCours;01-10-2004;20-12-2012;;s15412;non;26-09-2011;05-07-2013;
Nathalie Herve;;Sur la metrique de clement marot.;Benoit de Cornulier;Cornulier Benoit de;026799774;Nantes;026403447;Litteratures francaise et francophone;enCours;01-10-2003;11-12-2011;;s14497;non;26-09-2011;05-04-2016;
Olivier De lagarde;;Modalites de pilotage du risque operationnel dans le secteur de l'assurance.;Nicolas Berland;Berland Nicolas;060608536;Poitiers;026403765;Sciences de gestion;enCours;01-11-2004;;;s17146;non;26-09-2011;21-01-2015;
Stephane Sanchez;;Une architecture generique integrant des mecanismes evolutionnistes pour la simulation comportementale d'acteurs virtuels.;Yves Duthen;Duthen Yves;061330302;Toulouse 1;026404354;Mathematiques et informatique appliquees aux sciences sociales (miass);enCours;01-11-2004;;;s17150;non;26-09-2011;21-01-2015;
Edita Raffaelli (Sasnauskyte);;Le droit regissant les langues en europe. etude comparative.;Jean-Yves Coppolani;Coppolani Jean-Yves;077157427;Corte;029473284;Droit public;enCours;01-11-2004;;;s17224;non;26-09-2011;04-04-2016;
Vanessa Mariani;;Droit de l'esthetique urbaine.;Jean-Paul Pastorel;Pastorel Jean-Paul;030767547;Corte;029473284;Droit public;enCours;01-11-2004;;;s17225;non;26-09-2011;05-04-2016;
Francois Berlimghi;;Le discours musical populaire de l ile de corse : origines et caracteres historiques.;Olivier Jehasse;Jehasse Olivier;028608631;Corte;029473284;Musique et musicologie;enCours;01-12-2004;;;s17236;non;26-09-2011;21-01-2015;
S cyriaque Akomo zoghe;;L'evangelisation des esclaves bantou et les resistances en colombie 1603-1713.;Jean-Pierre Duteil;Duteil Jean-Pierre;033516081;Paris 8;026403552;Histoire;enCours;11-12-2007;20-09-2011;;s18821;non;26-09-2011;05-04-2016;
Gael Nevi;;Le savoir et la guerison.;Alain Abelhauser;Abelhauser Alain;060987960;Rennes 2;054447658;Psychologie;enCours;01-11-2004;;;s15784;non;26-09-2011;21-01-2015;
Veronique Tsakoura;;Approche psycho-ergonomique du diagnostic medical chez les padiatres : perspective comparative france-gabon.;Francis Six;Six Francis;;Lille 3;026404524;Psychologie;enCours;01-11-2004;29-11-2011;;s15829;non;26-09-2011;03-04-2016;
Muriel Schmitz (Carof);;Les liens entre estime de soi et adaptation scolaire en maternelle, consequence sur la reussite scolaire en cp : etude comparative d'enfants scolarises en classe ordinaire et d'enfants scolarises en clis.;Pascale Planche;Planche Pascale;;Brest;026403021;Psychologie;enCours;01-10-2004;30-11-2011;;s15833;non;26-09-2011;28-02-2012;
Zerouale Aouachria;;Les enjeux des transformations des choix de GRH dans un centre de relation client prestataire;Jean-Marie Peretti;Peretti Jean-Marie;027064867;Corte;029473284;Sciences de gestion;enCours;13-01-2006;19-06-2010;;s18383;non;26-09-2011;12-04-2016;
Audrey Arnoult;;La mediatisation des troubles lies a l'adolescence;Isabelle Garcin-Marrou;Garcin-Marrou Isabelle;;Lyon 2;02640334X;Sciences de l'information et de la communication;enCours;05-11-2007;08-12-2011;;s18427;non;26-09-2011;04-04-2016;
Mihaela Lepadatu-Budileanu (Axente);;Construction territoriale et projet touristique : le cas de l'Estuaire de la Seine.;Benjamin Steck,Violeta Puscasu;Steck Benjamin,Puscasu Violeta;030925363,;Le Havre;031308570;Geographie;enCours;31-10-2006;26-11-2012;;s18462;non;26-09-2011;17-07-2013;
Duha Aboud;;Le rapport entre le rendement scolaire et l'estime de soi ainsi que la depression chez les enfants intellectuellement precoces et surdoues ages de 11 a 16 ans.;Robert Martin,Olivier Revol;Martin Robert,Revol Olivier;,031178715;Lyon 2;02640334X;Psychologie;enCours;22-10-2008;19-12-2008;;s18839;non;26-09-2011;30-03-2016;
Mohamad Al zayed;;Migration et developpement : exemples libanais et indien d'emigration au nord et au sud;Jean-pierre Dhommeaux;Dhommeaux Jean-pierre;;Rennes 1;02778715X;Science politique;enCours;17-10-2008;;;s18841;non;26-09-2011;22-01-2015;
Marie Augendre;;Vivre avec le volcan. une geographie du risque volcanique au japon.;Philippe Pelletier;Pelletier Philippe;;Lyon 2;02640334X;Geographie;enCours;24-10-2008;29-11-2008;;s18843;non;26-09-2011;02-05-2012;
Charles Assembe ovono;;Le sort du banquier dans les procedures collectives . les creances bancaires a l'epreuve du recouvrement;Deen Gibirila;Gibirila Deen;033883238;Toulouse 1;026404354;Droit prive;enCours;10-10-2008;;;s18871;non;26-09-2011;22-01-2015;
Bernard Aminot;;Etude sur les institutions publiques normandes au moyen age.;Guillaume Leyte;Leyte Guillaume;029299527;Paris 2;026403145;Histoire du droit et des institutions;enCours;01-11-2008;;;s18872;non;26-09-2011;04-04-2016;
Mazama esso Ago;;Les organisations internationales et le developpement des Etats;Jean-Paul Pancracio,Adama Kpodar;Pancracio Jean-Paul,Kpodar Adama;029474310,;Poitiers;026403765;Droit public;enCours;30-09-2008;;;s18931;non;26-09-2011;05-04-2016;
Gamal Awidan;;De l'urbanisme etatique a la gouvernance urbaine. l'exemple de tripolie (libye).;Gilles Ferreol;Ferreol Gilles;029816769;Poitiers;026403765;Geographie;enCours;01-10-2005;;;s17596;non;26-09-2011;04-04-2016;
Celine Allue;;L'image de pompee dans la litterature moderne et contemporaine.;Daniele Roman;Roman Daniele;033123896;Montpellier 3;026404702;Histoire moderne et contemporaine;enCours;01-11-2004;;;s17606;non;26-09-2011;05-04-2016;
Nebal Al anbar;;La communication parent-enfant dans l'Autisme: Influence de l'intelligence emotionnelle et des representations de l'autisme des parents et des reponses emotionnelles de l'enfant;Roland Dardennes;Dardennes Roland;;Paris 5;026404788;Psychologie;enCours;01-11-2003;12-12-2008;;s17636;non;26-09-2011;02-07-2012;
Ricardo-Aniceto Aravena Perez;;Construction de(s) sens du travail (de l') enseignant chez les professeurs d'enseignement secondaire : une analyse a partir de l'experience scolaire dans le cadre de la reforme educationnelle au chili.;Jean Houssaye;Houssaye Jean;026925494;Rouen;026403919;Sciences de l'education;enCours;01-10-2005;22-11-2010;;s17638;non;26-09-2011;26-11-2015;
Roula Alzaaboutie;;Application des methodes statistiques en psychometrie : adaptation, etalonnage et validation de tests psychologiques destines a l'orientation des etudiants en republique arabe syrienne.;Michel Launay;Launay Michel;;Montpellier 3;026404702;Psychologie;enCours;01-10-2005;;;s17646;non;26-09-2011;21-01-2015;
Anne Alcala;;Le traumatisme psychique a l'epreuve de l'age.;Marie-christine Gely-narjeot;Gely-narjeot Marie-christine;;Montpellier 3;026404702;Psychologie;enCours;01-10-2005;;;s17647;non;26-09-2011;21-01-2015;
Muriel Alle;;Les trois ventres de l'esclave michel-ange : du marbre au poeme, poietique de l'incision.;Bernard Salignon;Salignon Bernard;032278632;Montpellier 3;026404702;Psychologie;enCours;01-12-2005;;;s17648;non;26-09-2011;21-01-2015;
Jerome Alessandri;;Preference pour les stimuli associes a plus d'effort.;Jean-Claude Darcheville;Darcheville Jean-Claude;059781440;Lille 3;026404524;Psychologie;enCours;01-10-2005;24-10-2008;;s17650;non;26-09-2011;05-04-2016;
Beatrice Arend;;Co-construction de sens : elaboration conjointe d'une production ecrite. etude du processus d'ecriture.;Christian Brassac,Dominique Portante;Brassac Christian,Portante Dominique;,;Universite de Lorraine;157040569;Psychologie;enCours;01-12-2005;;;s17651;non;26-09-2011;28-06-2013;
Angela marsini Angsar;;La communaute javanaise de nouvelle-caledonie au xxe siecle : quels principes d'integration ?;Guy Martiniere;Martiniere Guy;027014061;La Rochelle;035375043;Histoire;enCours;01-09-2005;;;s17660;non;26-09-2011;04-04-2016;
Samar Abdel hadi;;Etude des quasi-contrats en droit compare libano-francais.;Herve Lecuyer;Lecuyer Herve;054375363;Paris 2;026403145;Droit prive;enCours;01-10-2005;;;s17691;non;26-09-2011;13-02-2015;
Charles Albert-bohan;;Les reseaux d'ebtreprises multinationales du secteur automobile dans le developpement des villes et territoires d'europe centrale et orientale.;Celine Rozenblat;Rozenblat Celine;050251880;Montpellier 3;026404702;Geographie;enCours;29-09-2006;;;s18038;non;26-09-2011;05-04-2016;
Yahaya Abdou;;Le statut de la paix en afrique : le projet de paix perpetuelle de kant, cadre theorique pour l'analyse des institutions ouest-africaines;Jean-Claude Bourdin;Bourdin Jean-Claude;032088043;Poitiers;026403765;Philosophie (metaphysique, epistemologie, esthetique);enCours;25-09-2006;;;s18065;non;26-09-2011;04-04-2016;
Abdulrahman Alhowemil;;La terminologie arabe du petrole : creation et semantique. Etude basee sur un corpus d'entreprise;Xavier Lelubre;Lelubre Xavier;;Lyon 2;02640334X;Langues et litteratures etrangeres;enCours;26-10-2006;02-07-2015;;s18069;non;26-09-2011;08-07-2015;
Sidonie Almespeck;;Le surgissement du feminin dans la psychose.;Christian Hoffmann;Hoffmann Christian;;Poitiers;026403765;Psychologie;enCours;28-09-2006;;;s18079;non;26-09-2011;22-01-2015;
